,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
0,Kodiak,15.86,19,1,5.1,-94.76,39.95
1,Busselton,12.09,49,12,6.48,115.35,-33.64
2,Atuona,28.02,100,8,5.88,-139.03,-9.8
3,Punta Arenas,11.23,71,90,7.2,-70.91,-53.16
4,Necochea,15.0,67,0,3.33,-58.74,-38.55
5,Port Macquarie,21.08,64,90,2.1,152.91,-31.43
6,Hit,8.12,84,56,1.38,42.83,33.64
7,Hasaki,8.12,39,0,2.1,140.83,35.73
8,Nishihara,10.93,37,20,2.6,139.53,35.74
9,Saint-Philippe,-0.95,36,1,1.5,-73.48,45.36
10,Bredasdorp,18.65,72,76,6.7,20.04,-34.53
11,Tuktoyaktuk,-7.0,92,75,4.1,-133.03,69.44
12,Skelleftea,-7.38,73,76,1.5,20.95,64.75
13,Coahuayana,30.05,16,0,0.88,-100.35,18.62
14,Albany,1.6,21,1,6.7,-73.75,42.65
15,Nantucket,1.25,100,1,4.6,-70.1,41.28
16,Ushuaia,12.0,66,75,2.6,-68.31,-54.81
17,Pimentel,24.4,95,68,0.43,-45.5,-3.7
18,Puerto Escondido,29.0,70,5,5.1,-97.07,15.86
19,Airai,23.7,89,48,0.88,125.41,-8.93
20,Hilo,22.79,57,20,5.1,-155.08,19.71
21,Cape Town,18.51,63,0,3.1,18.42,-33.93
22,Kapaa,24.24,78,90,2.6,-159.32,22.08
23,Vila Praia de Ancora,15.66,23,0,3.6,-8.85,41.81
24,Avarua,29.0,79,36,3.1,-159.78,-21.21
25,Darhan,-12.93,65,0,1.28,105.92,49.49
26,Bambous Virieux,25.23,88,75,1.0,57.76,-20.34
27,Ixtapa,26.06,74,5,5.7,-105.21,20.71
28,Mirnyy,-7.33,81,0,4.33,36.46,56.57
29,Bethel,3.95,75,75,9.3,-161.76,60.79
30,Lakatoro,27.8,90,80,4.68,167.42,-16.11
31,Port Alfred,18.67,93,36,4.18,26.89,-33.59
32,Waingapu,24.77,100,36,1.78,120.26,-9.65
33,Yellowknife,-1.44,68,90,6.2,-114.38,62.45
34,Coquimbo,14.0,87,75,3.6,-71.34,-29.95
35,Severo-Kurilsk,-1.36,97,48,2.48,156.12,50.68
36,Tiksi,-23.23,68,0,1.33,128.87,71.64
37,Lagoa,16.32,67,40,6.7,-8.45,37.14
38,Geraldton,3.0,25,75,6.2,-86.95,49.72
39,Mahebourg,25.22,88,75,1.0,57.7,-20.41
40,Ponta do Sol,22.15,71,32,2.68,-46.0,-20.63
41,Isangel,28.0,78,40,4.1,169.27,-19.55
42,Rikitea,26.67,97,20,7.18,-134.97,-23.12
43,Salinas,17.18,63,90,2.1,-121.66,36.67
44,Henties Bay,16.11,93,92,1.79,14.28,-22.12
45,Bluff,28.8,57,48,4.13,149.07,-23.58
46,Muisne,28.0,78,20,3.6,-80.02,0.61
47,Riviera Beach,7.38,22,1,3.6,-76.51,39.16
48,Medea,8.0,87,40,1.5,2.77,36.27
49,Bitung,23.0,100,20,1.5,125.19,1.44
50,Sitka,20.0,48,24,7.15,-99.65,37.17
51,Lebu,18.0,55,20,3.1,38.73,8.96
52,Gatton,20.73,77,90,2.1,152.28,-27.56
53,Vaini,22.12,94,92,0.53,74.49,15.34
54,Mataura,13.33,73,24,7.6,168.86,-46.19
55,Vila Velha,26.97,83,40,1.0,-38.6,-3.71
56,Yaypan,7.87,67,64,2.33,70.82,40.38
57,Klaksvik,7.0,75,64,5.7,-6.59,62.23
58,Bam,19.97,42,8,5.88,58.36,29.11
59,Pangai,26.0,83,90,6.2,-174.35,-19.8
60,Sioux Lookout,3.38,48,75,3.6,-91.92,50.1
61,Pisco,22.0,30,0,8.7,-76.2,-13.71
62,Bereda,8.41,57,0,1.0,-7.54,43.27
63,Hermanus,19.26,76,88,4.02,19.24,-34.42
64,Moshenskoye,-2.36,92,88,3.13,34.59,58.52
65,Butaritari,29.02,100,20,7.73,172.79,3.07
66,Nikolskoye,-3.18,79,0,5.0,30.79,59.7
67,Deputatskiy,-20.13,74,20,1.83,139.9,69.3
68,Nome,22.97,38,1,4.6,-94.42,30.04
69,Georgetown,27.45,74,20,3.1,-58.16,6.8
70,Barrow,11.12,73,0,3.78,-60.23,-38.31
71,Leningradskiy,-0.73,89,76,10.08,178.42,69.38
72,Ilulissat,-12.0,85,80,4.6,-51.1,69.22
73,Hithadhoo,28.05,100,68,2.53,73.08,-0.6
74,Jiuquan,-5.21,63,88,1.73,98.49,39.73
75,Taltal,16.67,81,0,0.53,-70.49,-25.41
76,Susanino,-4.03,84,80,2.68,41.61,58.15
77,Vostok,-5.93,62,68,2.38,135.83,46.45
78,Puerto Ayora,28.0,70,75,5.1,-90.35,-0.74
79,Mar del Plata,16.27,57,0,3.48,-67.52,-46.43
80,Dingle,25.45,86,48,4.33,122.67,11.0
81,Yar-Sale,0.05,91,80,9.58,70.83,66.83
82,Kuala Terengganu,25.71,94,75,1.0,103.14,5.33
83,Iralaya,27.8,72,32,4.38,-83.23,15.0
84,Lorengau,28.7,95,88,3.68,147.27,-2.02
85,Masaurhi,20.0,88,40,1.18,85.03,25.35
86,Laguna,30.0,27,90,5.1,-110.01,27.52
87,Torbay,-4.39,67,90,4.6,-52.73,47.66
88,Batagay,-19.88,62,24,1.53,134.64,67.65
89,Chokurdakh,-19.43,86,44,6.98,147.9,70.62
90,Havelock,10.12,40,1,7.7,-76.9,34.88
91,Slobidka,0.7,88,92,5.33,26.77,48.42
92,Hualmay,20.7,78,8,1.98,-77.61,-11.1
93,Hobart,13.61,50,0,4.6,147.33,-42.88
94,Touros,27.0,88,40,1.28,-35.46,-5.2
95,East London,20.32,100,68,2.43,27.91,-33.02
96,Karasjok,-6.0,73,32,10.3,25.52,69.47
97,Saint George,11.0,81,75,1.08,22.34,39.45
98,Itaituba,26.92,78,48,1.63,-55.99,-4.26
99,Marfino,-1.13,86,0,3.0,37.56,56.07
100,Balabac,27.7,99,0,6.33,117.06,7.99
101,Thinadhoo,28.2,100,36,2.58,72.93,0.53
102,Castro,19.0,59,0,3.1,-73.76,-42.48
103,Iqaluit,-18.0,64,40,7.7,-68.52,63.75
104,Foldeak,2.86,55,0,3.6,20.5,46.32
105,Oranjemund,15.77,93,0,1.58,16.43,-28.55
106,Sao Filipe,20.9,100,0,5.38,-24.5,14.9
